epoch,train_loss,train_psnr,val_loss,val_psnr,val_ssim,lr
1,0.05169,32.38,0.04564,32.6,0.8368,0.0004969
2,0.04506,33.0,0.04554,32.63,0.8369,0.0004878
3,0.04495,33.04,0.04589,32.55,0.8355,0.0004728
4,0.04443,33.1,0.04534,32.66,0.8376,0.0004523
5,0.0443,33.08,0.0454,32.66,0.8371,0.0004269
6,0.04419,33.09,0.04473,32.66,0.8403,0.0003972
7,0.04402,33.16,0.04483,32.64,0.8398,0.0003638
8,0.04396,33.14,0.04471,32.69,0.8402,0.0003276
9,0.04412,33.19,0.0447,32.71,0.8402,0.0002895
10,0.04415,33.18,0.04478,32.69,0.8398,0.0002505
11,0.04421,33.08,0.04555,32.59,0.8368,0.0002115
12,0.04431,33.13,0.04472,32.68,0.8404,0.0001734
13,0.04411,33.15,0.04478,32.7,0.8398,0.0001372
14,0.04402,33.15,0.0445,32.73,0.8408,0.0001038
15,0.044,33.13,0.04532,32.63,0.8374,7.41e-05
16,0.04404,33.17,0.04541,32.62,0.8372,4.87e-05
17,0.04422,33.08,0.04485,32.69,0.8394,2.82e-05
18,0.04391,33.11,0.04578,32.6,0.8359,1.32e-05
19,0.04383,33.15,0.04495,32.72,0.839,4.1e-06
20,0.04421,33.18,0.04528,32.64,0.8379,1e-06
