epoch,train_loss,train_psnr,val_loss,val_psnr,val_ssim,lr
1,0.05922,31.99,0.03051,35.28,0.8955,0.0004969
2,0.03001,35.7,0.02961,35.51,0.8982,0.0004878
3,0.02978,35.77,0.02982,35.34,0.8978,0.0004728
4,0.02964,35.66,0.02953,35.46,0.8987,0.0004523
5,0.02942,35.84,0.02955,35.41,0.8985,0.0004269
6,0.02939,35.84,0.02897,35.5,0.901,0.0003972
7,0.02933,35.78,0.0295,35.44,0.8988,0.0003638
8,0.02909,35.89,0.02927,35.55,0.8998,0.0003276
9,0.02949,35.73,0.02925,35.49,0.8999,0.0002895
10,0.02942,35.77,0.02904,35.53,0.9005,0.0002505
11,0.02947,35.8,0.02978,35.44,0.8976,0.0002115
12,0.02959,35.75,0.02931,35.51,0.8996,0.0001734
13,0.02943,35.8,0.029,35.6,0.9007,0.0001372
14,0.02931,35.84,0.02895,35.53,0.9009,0.0001038
15,0.02924,35.8,0.02966,35.45,0.898,7.41e-05
16,0.02937,35.8,0.0295,35.44,0.8987,4.87e-05
17,0.02945,35.79,0.02911,35.48,0.9002,2.82e-05
18,0.02919,35.84,0.02989,35.45,0.8972,1.32e-05
19,0.02906,35.97,0.02916,35.54,0.9001,4.1e-06
20,0.02938,35.83,0.02993,35.37,0.8971,1e-06
